httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
0.001935536s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.34.53,200,curl/7.68.0,674ed0a20007af0c74572404,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:34:26.505952436Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,446e51ae671fc30a,2024-12-03T09:34:26.494182Z,projects/charismatic-tea-434516-a5/traces/17d77f0730cbe0f1dac65f10676f0166,true
0.001712777s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.34.53,200,curl/7.68.0,674ecfea000f10b20cfce67c,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:31:22.994931955Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,9a8d4c90caa09c1e,2024-12-03T09:31:22.979822Z,projects/charismatic-tea-434516-a5/traces/011a6efadf2a7091216531c73cc9692b,true
0.001978508s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.36.53,200,curl/7.68.0,674ecf3400029048c180db7a,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:28:20.172435368Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,c671bc58f01ac623,2024-12-03T09:28:20.160374Z,projects/charismatic-tea-434516-a5/traces/7101e4693181d0c50b2034aa777f7b6d,true
0.001675643s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674ece28000915dede61626a,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:23:52.598224212Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,c633a5a64252731e,2024-12-03T09:23:52.587820Z,projects/charismatic-tea-434516-a5/traces/3bd814e337035a758da523758f6768f1,true
0.001657742s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674ecd70000a32d86351758a,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:20:48.673757505Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,f86888fa3bf1fc41,2024-12-03T09:20:48.660425Z,projects/charismatic-tea-434516-a5/traces/08dbd3dba43ede3e138d6c2b63179153,true
0.002138059s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674eccb8000aeb489d3f4f79,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:17:44.719942232Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,06bb0b11b6137abd,2024-12-03T09:17:44.707850Z,projects/charismatic-tea-434516-a5/traces/266e5b2aaa375f041d6fed725dbbf5bd,true
0.002457891s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674ecc32000d140cd5f16de6,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:15:30.860148667Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,84f1e2eb88d9ba22,2024-12-03T09:15:30.847721Z,projects/charismatic-tea-434516-a5/traces/a54b98f5b669b3ddb25c78475251a92b,true
0.001733526s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.36.53,200,curl/7.68.0,674ecafa000496440597a8f2,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:10:18.305042367Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,c39c6b4b31a48448,2024-12-03T09:10:18.292779Z,projects/charismatic-tea-434516-a5/traces/1266807c645f1b9b8e9ac73156503576,true
0.001877630s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.36.53,200,curl/7.68.0,674eca3e000cc4a917e4dc18,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:07:10.842306923Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,a41be31d620fd9d2,2024-12-03T09:07:10.827939Z,projects/charismatic-tea-434516-a5/traces/f748b1016a70a9fe91b295279ee62cd4,true
0.001938728s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.36.53,200,curl/7.68.0,674ec9250005e74c077084bc,004940b3b8a598ce193e2244647a6c27b4c478bbd461509ee8f7eecf243dc80a43fcd25af9e8a9687247ec3fe22ef08cb68a277ef82362a2c89c1a117405440111fe96d78109e3e5b64e9e871bd2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:02:29.392418093Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00009-5xb,factorial-rust,cloud_run_revision,INFO,7c79ecb2073c2f25,2024-12-03T09:02:29.377476Z,projects/charismatic-tea-434516-a5/traces/02ea463eefb4f00c944f1069d4a54d31,true
