httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,protoPayload.methodName,protoPayload.resourceName,protoPayload.response.@type,protoPayload.response.apiVersion,protoPayload.response.kind,"protoPayload.response.metadata.annotations.""autoscaling.knative.dev/maxScale""","protoPayload.response.metadata.annotations.""run.googleapis.com/client-name""","protoPayload.response.metadata.annotations.""run.googleapis.com/execution-environment""","protoPayload.response.metadata.annotations.""run.googleapis.com/operation-id""","protoPayload.response.metadata.annotations.""run.googleapis.com/startup-cpu-boost""","protoPayload.response.metadata.annotations.""serving.knative.dev/creator""",protoPayload.response.metadata.creationTimestamp,protoPayload.response.metadata.generation,"protoPayload.response.metadata.labels.""client.knative.dev/nonce""","protoPayload.response.metadata.labels.""cloud.googleapis.com/location""","protoPayload.response.metadata.labels.""run.googleapis.com/startupProbeType""","protoPayload.response.metadata.labels.""serving.knative.dev/configuration""","protoPayload.response.metadata.labels.""serving.knative.dev/configurationGeneration""","protoPayload.response.metadata.labels.""serving.knative.dev/route""","protoPayload.response.metadata.labels.""serving.knative.dev/service""","protoPayload.response.metadata.labels.""serving.knative.dev/serviceUid""",protoPayload.response.metadata.name,protoPayload.response.metadata.namespace,protoPayload.response.metadata.ownerReferences,protoPayload.response.metadata.resourceVersion,protoPayload.response.metadata.selfLink,protoPayload.response.metadata.uid,protoPayload.response.spec.containerConcurrency,protoPayload.response.spec.containers,protoPayload.response.spec.serviceAccountName,protoPayload.response.spec.timeoutSeconds,protoPayload.response.status.conditions,protoPayload.response.status.containerStatuses,protoPayload.response.status.imageDigest,protoPayload.response.status.logUrl,protoPayload.response.status.observedGeneration,protoPayload.serviceName,protoPayload.status.message,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
,,,,,,,,,,6745fca300071102ef6bada6,004940b3b833d1d54da0f0f7f3876dc817819aaae07a832a599cc354c1d4878a5138e167def88000a9d554f43bac11fe90642b0f518d0a0ac26f78273303a3317fbe216a0a4a20519cc7b0d5f0cc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T16:51:47.465930913Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T16:51:47.463106Z,,
0.110390524s,HTTP/1.1,20.55.119.233,GET,263,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.34.53,200,curl/7.81.0,6745fca3000764b475831bba,004940b3b833d1d54da0f0f7f3876dc817819aaae07a832a599cc354c1d4878a5138e167def88000a9d554f43bac11fe90642b0f518d0a0ac26f78273303a3317fbe216a0a4a20519cc7b0d5f0cc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T16:51:47.488083024Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,eca9c3bd34979509,,2024-11-26T16:51:47.333460Z,projects/charismatic-tea-434516-a5/traces/83f89d4e6f79717f163109d8cb66819f,true
,,,,,,,,,,6745ebe400089fad6bccb9eb,004940b3b89de0b785900a00106336f9abfbdea994f42637a069220f89d00a8d1242914cefe99b86d3c5e097c402bf276118a2a18d91d41a1678749dbdcd35aee080437edb72e5dc1b2b98a241c9,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T15:40:20.568246586Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T15:40:20.565165Z,,
0.126972570s,HTTP/1.1,52.242.132.129,GET,265,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.38.53,200,curl/7.81.0,6745ebe4000988609d0b15a7,004940b3b89de0b785900a00106336f9abfbdea994f42637a069220f89d00a8d1242914cefe99b86d3c5e097c402bf276118a2a18d91d41a1678749dbdcd35aee080437edb72e5dc1b2b98a241c9,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T15:40:20.628820286Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,ad87a0b3a6a50db2,,2024-11-26T15:40:20.424895Z,projects/charismatic-tea-434516-a5/traces/8a080a1341bae721084cd3904abd6fa4,true
,,,,,,,,,,6745de4d000aedc09e0d9d8c,004940b3b861f65ebda38402aff49c484e9e54e20a106c346d9e6073f5f993d83c8d6cbf34babb4d3ce9b97b503866daa1492e538466131ee605196cd185169db32514f1882f3c3809edcb3ff045,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T14:42:21.719910434Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T14:42:21.716224Z,,
0.115906804s,HTTP/1.1,40.83.59.40,GET,265,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.38.53,200,curl/7.81.0,6745de4d000b57d637599f1e,004940b3b861f65ebda38402aff49c484e9e54e20a106c346d9e6073f5f993d83c8d6cbf34babb4d3ce9b97b503866daa1492e538466131ee605196cd185169db32514f1882f3c3809edcb3ff045,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T14:42:21.748169804Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,b333ef85b2e6441d,,2024-11-26T14:42:21.575492Z,projects/charismatic-tea-434516-a5/traces/1747d87d23d54c81499dae3a60894ec1,true
,,,,,,,,,,6745ceb70006d0443d225019,004940b3b84729a4992e3786456f45f8c5d9d45a5f37f50686c9df20f4e915afe9c8a058597fd92277d5dc39fb8a005a126486af85116c2c3e86dc88356119daa2cc1d9199b3ef228a20d6167593,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T13:35:51.450655649Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T13:35:51.446532Z,,
0.112678131s,HTTP/1.1,13.64.11.194,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.36.53,200,curl/7.81.0,6745ceb700073197bfc4e013,004940b3b84729a4992e3786456f45f8c5d9d45a5f37f50686c9df20f4e915afe9c8a058597fd92277d5dc39fb8a005a126486af85116c2c3e86dc88356119daa2cc1d9199b3ef228a20d6167593,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T13:35:51.474444298Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,5fe6801902cb96ce,,2024-11-26T13:35:51.309469Z,projects/charismatic-tea-434516-a5/traces/2f3796403830ed2173c5776ced432b09,true
,,,,,,,,,,6745b439000e8bc0bbf829e7,004940b3b815e2bf9642faee4d9e9f5c114fb2584b208994a7a36878f4fb193221a3955c5991780e02fe7b1d80443c037f1c8453d7d527ed92ed6daf4b49af7a0ff7838f18b6b45d36024f67a23e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T11:42:49.958490216Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T11:42:49.953280Z,,
2.275485199s,HTTP/1.1,13.89.4.187,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.36.53,200,curl/7.81.0,6745b43a00004d5962595bc6,004940b3b815e2bf9642faee4d9e9f5c114fb2584b208994a7a36878f4fb193221a3955c5991780e02fe7b1d80443c037f1c8453d7d527ed92ed6daf4b49af7a0ff7838f18b6b45d36024f67a23e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T11:42:50.022951678Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00006-54g,factorial-cpp,cloud_run_revision,INFO,ca7e401fe616257a,,2024-11-26T11:42:47.676938Z,projects/charismatic-tea-434516-a5/traces/2777e571e6912dc9f21f50152e246f8b,true
