httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
0.001525662s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674df830000868e79bfd7e8e,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T18:10:56.555524974Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,acff678c834bce01,2024-12-02T18:10:56.543855Z,projects/charismatic-tea-434516-a5/traces/f1782b7eb296ca691a8795e3f5ed1a57,true
0.001484332s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674df0dc000ac40f0cfe4253,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:39:40.707213819Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,077b0eb6cb8ce206,2024-12-02T17:39:40.696469Z,projects/charismatic-tea-434516-a5/traces/29a79b74ec83ea5784899fc42884a66e,true
0.001735270s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674defda000a954228f5f452,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:35:22.696025960Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,a6597a7ec24ccfef,2024-12-02T17:35:22.685853Z,projects/charismatic-tea-434516-a5/traces/7003916b8c9e91ad54819c650cfba2c7,true
0.001776104s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.36.53,200,curl/7.68.0,674def19000701fc68ffe0b5,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:32:09.462290930Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,6e62d0bd61b81a9b,2024-12-02T17:32:09.451443Z,projects/charismatic-tea-434516-a5/traces/7bff2bab190dad21a28f403dab72ce72,true
0.001747060s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.38.53,200,curl/7.68.0,674dee58000276fd652dd639,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:28:56.166602924Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,0b86ba4e31052476,2024-12-02T17:28:56.152770Z,projects/charismatic-tea-434516-a5/traces/d7e0721f4805fcf8a1be4cfae9d640df,true
0.001657718s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674dedd900067722dfc63d29,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:26:49.426299612Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,b6499aa1d449cfc1,2024-12-02T17:26:49.413449Z,projects/charismatic-tea-434516-a5/traces/3f08b9f9ac3f3a664c4a191518f79525,true
0.001730031s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.36.53,200,curl/7.68.0,674dec95000092c194ee78b5,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:21:25.042652058Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,e916dc78d4a11c83,2024-12-02T17:21:25.026971Z,projects/charismatic-tea-434516-a5/traces/37edaa3dadad0b44f40106f8f373ebc8,true
0.001955566s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674deb8d000c55e34b42840b,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:17:01.812297894Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,36799e94e2b2f1a1,2024-12-02T17:17:01.800649Z,projects/charismatic-tea-434516-a5/traces/71e7d1708994b42c11b1ae7d50423694,true
0.001467097s,HTTP/1.1,37.228.255.14,GET,267,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.34.53,200,curl/7.68.0,674deacf000484777107215c,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:13:51.301615338Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,2c994ec85a0f43c1,2024-12-02T17:13:51.287916Z,projects/charismatic-tea-434516-a5/traces/aa04ee43d2010e24c64aae768c5856bd,true
0.001497033s,HTTP/1.1,37.228.255.14,GET,266,https://factorial-rust-815005680514.europe-north1.run.app/,88,216.239.32.53,200,curl/7.68.0,674dea4a000b3d3c69482ed7,004940b3b8b74698d9b14558660fedf03278c5f320c68bba532dcca3511365ca76d1c34796a5540f147a53007a680879c0950939ecd6f9d6be5a5c56b444e91e4c7e0e319b9875ad54446ff06b2d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:11:38.741195036Z,factorial-rust,europe-north1,charismatic-tea-434516-a5,factorial-rust-00008-5xk,factorial-rust,cloud_run_revision,INFO,86c818445dbff539,2024-12-02T17:11:38.726058Z,projects/charismatic-tea-434516-a5/traces/cb650590864d4e4f0af8c8ae4fd727f3,true
