rust,go,cpp,,rust-fannkuch,fannkuch-go,fannkuch-cpp
32.101981847s,41.768651300s,70.066872631s,,32.10198185,41.7686513,70.06687263
31.869128731s,42.744859161s,70.371249237s,,31.86912873,42.74485916,70.37124924
32.032076367s,40.288948837s,70.281282528s,,32.03207637,40.28894884,70.28128253
31.898906928s,40.696339918s,70.377744048s,,31.89890693,40.69633992,70.37774405
32.101361925s,39.371742108s,70.250587688s,,32.10136193,39.37174211,70.25058769
32.035179565s,41.074723363s,70.194445850s,,32.03517957,41.07472336,70.19444585
32.378356643s,44.743368512s,70.172518724s,,32.37835664,44.74336851,70.17251872
32.147113709s,44.526708270s,70.042579340s,,32.14711371,44.52670827,70.04257934
31.936151498s,37.899803470s,70.064987805s,,31.9361515,37.89980347,70.06498781
31.798511991s,40.391308009s,70.311518797s,,31.79851199,40.39130801,70.3115188
32.099132243s,41.140929634s,70.249652771s,,32.09913224,41.14092963,70.24965277
32.149036395s,37.174151110s,70.204106774s,,32.1490364,37.17415111,70.20410677
32.140747274s,43.559679147s,70.851062099s,,32.14074727,43.55967915,70.8510621
32.181162340s,45.170645398s,70.238407961s,,32.18116234,45.1706454,70.23840796
31.905765313s,43.898003773s,71.086934854s,,31.90576531,43.89800377,71.08693485
31.986268129s,39.436671883s,70.335489018s,,31.98626813,39.43667188,70.33548902
32.043549202s,42.888216408s,70.689308731s,,32.0435492,42.88821641,70.68930873
32.262693599s,44.123901420s,70.597626085s,,32.2626936,44.12390142,70.59762609
32.170017778s,42.502793778s,70.853887466s,,32.17001778,42.50279378,70.85388747
31.993153034s,41.821839543s,70.556900849s,,31.99315303,41.82183954,70.55690085
31.986036879s,41.378250279s,70.719381487s,,31.98603688,41.37825028,70.71938149
32.185439280s,40.238570366s,70.602980204s,,32.18543928,40.23857037,70.6029802
31.974861665s,42.902230206s,70.500572132s,,31.97486167,42.90223021,70.50057213
32.152376751s,43.466666790s,70.465798278s,,32.15237675,43.46666679,70.46579828
