httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
70.066872631s,HTTP/1.1,37.228.255.14,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.68.0,674df8760008d8f73703ea0f,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T18:12:06.583393590Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,042c86a7741e93ac,2024-12-02T18:10:56.500882Z,projects/charismatic-tea-434516-a5/traces/f6528abe495ee174d4428672b08cb7a1,true
70.371249237s,HTTP/1.1,37.228.255.14,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.68.0,674df0e20003d17ba7e1e20d,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:39:46.254398747Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,850f55b838b43750,2024-12-02T17:38:35.866868Z,projects/charismatic-tea-434516-a5/traces/84580cc10bae92abfcb404f895d3884a,true
70.281282528s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.38.53,200,curl/7.68.0,674df020000ebeb8df6f9ad3,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:36:32.971691372Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,d5702fce58771b23,2024-12-02T17:35:22.673726Z,projects/charismatic-tea-434516-a5/traces/b2edb309ca07ab63d38385f9c5a0ceef,true
70.377744048s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.32.53,200,curl/7.68.0,674def5f000bbdfbba0d26e1,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:33:19.772127198Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,a794ba0330760df1,2024-12-02T17:32:09.380982Z,projects/charismatic-tea-434516-a5/traces/dd0cfdde2a79a91465f52ca9bd188722,true
70.250587688s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.68.0,674dee9e0005a593b4dfd86c,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:30:06.373873169Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,4db01e37a6bcf601,2024-12-02T17:28:56.105790Z,projects/charismatic-tea-434516-a5/traces/c9b15772d3f3ceb60ce3361decf614fb,true
70.194445850s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.68.0,674dedda0008b080ff3b0edc,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:26:50.572753669Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,03d8ad8870c8d7c5,2024-12-02T17:25:40.363349Z,projects/charismatic-tea-434516-a5/traces/e71cd6c315a1ae9e4edc4d6bcd1141c9,true
70.172518724s,HTTP/1.1,37.228.255.14,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.38.53,200,curl/7.68.0,674decdb000280adf486bac9,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:22:35.168511843Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,692a9ed8abb43ddd,2024-12-02T17:21:24.978935Z,projects/charismatic-tea-434516-a5/traces/030039a208262a68515fd43c04fb9fc6,true
70.042579340s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.36.53,200,curl/7.68.0,674dec1400053910da1ef241,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:19:16.346499578Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,cb2253df0b3420bd,2024-12-02T17:18:06.286821Z,projects/charismatic-tea-434516-a5/traces/52150543ecc14298fdaffd8d0d7b0f5d,true
70.064987805s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.68.0,674deb150004d29ef5434403,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:15:01.319923008Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,8718fbdb184e4aaf,2024-12-02T17:13:51.238433Z,projects/charismatic-tea-434516-a5/traces/17df865540e3937980474c98310043d3,true
70.311518797s,HTTP/1.1,37.228.255.14,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.36.53,200,curl/7.68.0,674dea07000d3187dc15480a,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:10:31.870613103Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,f9b9c1ee0b09763d,2024-12-02T17:09:21.538536Z,projects/charismatic-tea-434516-a5/traces/066e05722fc1b57521ffff8fa14cd1cb,true
70.249652771s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.32.53,200,curl/7.68.0,674de94600090251ade29a01,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:07:18.594938768Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,099b44427e239226,2024-12-02T17:06:08.326924Z,projects/charismatic-tea-434516-a5/traces/7b1d653c24778e72785dad35c8ba2691,true
70.204106774s,HTTP/1.1,37.228.255.14,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.38.53,200,curl/7.68.0,674de8ec000bfcbfd0f78def,004940b3b85368b75ccf5d6bb6282641a93354206f73bbaa8502689f37a07f31524df49f7bbade935b1c8028f7c72b7e273ff8ee416540aea7e89452b46843d43882f117ba45c7ffba05dbf0c09e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:05:48.789573328Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00016-xw9,fannkuch-cpp,cloud_run_revision,INFO,1cffb80d8b93f146,2024-12-02T17:04:38.569087Z,projects/charismatic-tea-434516-a5/traces/137d01689b72f5109f396052ba43c09d,true
