httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
41.768651300s,HTTP/1.1,20.109.94.1,GET,261,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.32.53,200,curl/7.81.0,6746cd020009eabaa7a37be6,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:40:50.654879679Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,a237cdf63e5b2fae,2024-11-27T07:40:08.871869Z,projects/charismatic-tea-434516-a5/traces/02bb86e922880c121e8669fbb6e8e1bc,true
42.744859161s,HTTP/1.1,40.83.58.147,GET,261,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.36.53,200,curl/7.81.0,6746ccbd00089b558d03ae07,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:39:41.566188301Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,6719cca4b7744520,2024-11-27T07:38:58.810274Z,projects/charismatic-tea-434516-a5/traces/37c7c8d3115c13275786b170a11d20fd,true
40.288948837s,HTTP/1.1,13.89.26.58,GET,261,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.38.53,200,curl/7.81.0,6746cc600004da4243149fa6,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:38:08.322253430Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,df8f3f075ea0600b,2024-11-27T07:37:28.016816Z,projects/charismatic-tea-434516-a5/traces/c5cf860fa7df8a737fb6012dc962d1de,true
40.696339918s,HTTP/1.1,40.86.43.18,GET,260,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.38.53,200,curl/7.81.0,6746cbac0006d85d59a4df75,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:35:08.451205840Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,dd1549e5d4860282,2024-11-27T07:34:27.743520Z,projects/charismatic-tea-434516-a5/traces/b6e43e1bb297c8fc1f62d50efbc41623,true
39.371742108s,HTTP/1.1,40.83.58.147,GET,261,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.34.53,200,curl/7.81.0,6746cb3e00085f4517c13ce0,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:33:18.551800279Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,c15839774afffc6c,2024-11-27T07:32:39.168189Z,projects/charismatic-tea-434516-a5/traces/de2027a1f8357d54f03cae52e33633b6,true
41.074723363s,HTTP/1.1,13.89.26.58,GET,260,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.34.53,200,curl/7.81.0,6746cadb00009e84fdb29121,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:31:39.046297243Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,828932ec1261f7e3,2024-11-27T07:30:57.956394Z,projects/charismatic-tea-434516-a5/traces/bf58579589a4e023b35cc791d4eebb3a,true
44.743368512s,HTTP/1.1,20.109.94.1,GET,260,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.38.53,200,curl/7.81.0,6746ca99000234334e4169b3,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:30:33.146413344Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,9a31174dfa3fb0a9,2024-11-27T07:29:48.391260Z,projects/charismatic-tea-434516-a5/traces/1555dc659749f0be595cdff9954192cf,true
44.526708270s,HTTP/1.1,40.83.59.204,GET,261,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.32.53,200,curl/7.81.0,6746c9b0000e6954a43d3bf9,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:26:40.947099850Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,6171663275dd3d1b,2024-11-27T07:25:56.408564Z,projects/charismatic-tea-434516-a5/traces/5d05b690c541b1a4ea81378932f73ecb,true
37.899803470s,HTTP/1.1,40.86.43.18,GET,261,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.36.53,200,curl/7.81.0,6746c96400023a73b9e02bab,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:25:24.149061921Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,514d610f1bc75aae,2024-11-27T07:24:46.236746Z,projects/charismatic-tea-434516-a5/traces/b3be5ce31882662a0b1ee50c30ed5222,true
40.391308009s,HTTP/1.1,20.109.94.1,GET,261,https://fannkuch-go-815005680514.europe-north1.run.app/,127,216.239.32.53,200,curl/7.81.0,6746c918000700d4d223461c,004940b3b86cdefdbce9f63901d02de8942e181e729cfffcd6e6a1df8f793f0fc42fe40b66876a8ba0743d63025b09deff32d68763d341490836e939601cf364a2d505d5d070bfe35728edb8ae,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:24:08.464616907Z,fannkuch-go,europe-north1,charismatic-tea-434516-a5,fannkuch-go-00010-lkw,fannkuch-go,cloud_run_revision,INFO,d536b53cc6fbaef0,2024-11-27T07:23:28.057434Z,projects/charismatic-tea-434516-a5/traces/3d50d7e00a76f671421c1deee669a753,true
