httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
59.264960650s,HTTP/1.1,172.200.182.156,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.81.0,67442e2d00055145398369b8,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:58:37.352426814Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,10fe856900fe3a68,2024-11-25T07:57:38.071524Z,projects/charismatic-tea-434516-a5/traces/ec9ba3a3ec8cc85f435e5b5e9d273f5d,true
59.412136132s,HTTP/1.1,172.200.182.156,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.36.53,200,curl/7.81.0,67442d2c0004d130ea50e67c,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:54:20.321570367Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,efa3879305da599d,2024-11-25T07:53:20.892042Z,projects/charismatic-tea-434516-a5/traces/a9dd3f50894d9803b9475c0e5352fcc9,true
58.927800891s,HTTP/1.1,172.200.182.156,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.36.53,200,curl/7.81.0,67442c2a000642595982bb9d,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:50:02.413274783Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,b8941ed2edd3033a,2024-11-25T07:49:03.469113Z,projects/charismatic-tea-434516-a5/traces/2b580dbe16af11bedda929c0d33c64be,true
58.966849265s,HTTP/1.1,172.200.182.156,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.81.0,67442b2b0006edf9d9dcd63a,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:45:47.457560577Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,b27765f49c946854,2024-11-25T07:44:48.475545Z,projects/charismatic-tea-434516-a5/traces/964fde66482eb8411bc5d6cc10dde4d7,true
59.117366855s,HTTP/1.1,172.200.182.156,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.32.53,200,curl/7.81.0,67442a2b00083b007814c2ba,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:41:31.543786934Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,65fe2b5db69b3385,2024-11-25T07:40:32.410024Z,projects/charismatic-tea-434516-a5/traces/c8bad53b5b3d91d85aa4d8320e065e77,true
58.709493320s,HTTP/1.1,172.200.182.156,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.32.53,200,curl/7.81.0,6744292b0005fd9c271d88f1,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:37:15.395660393Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,2be930f81c3c334b,2024-11-25T07:36:16.671871Z,projects/charismatic-tea-434516-a5/traces/d732e17aa9399483e7ba7e85535152cf,true
59.094103606s,HTTP/1.1,172.200.182.156,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.32.53,200,curl/7.81.0,6744282b0003768dbced3b9a,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:32:59.231364318Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,d3ef5e7e763dd71a,2024-11-25T07:32:00.121873Z,projects/charismatic-tea-434516-a5/traces/5036fafc7d152863d0c2f567b8351126,true
58.680451799s,HTTP/1.1,168.62.241.127,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.38.53,200,curl/7.81.0,67442738000eb68675d58e6a,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:28:56.968317738Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,5c9a952bbeb20934,2024-11-25T07:27:58.272446Z,projects/charismatic-tea-434516-a5/traces/f4d95f4620ae6f5fae542d08d763e3a8,true
59.157378888s,HTTP/1.1,168.62.241.127,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.38.53,200,curl/7.81.0,67442638000379e9267c2867,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:24:40.231907316Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,450deb02688d8cbf,2024-11-25T07:23:41.057543Z,projects/charismatic-tea-434516-a5/traces/29c8d9cc951d5b21674ef4fc547112e9,true
59.996262832s,HTTP/1.1,168.62.241.127,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.81.0,67442537000490d5781ce874,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:20:23.304402109Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,d55b4f638b7a5a01,2024-11-25T07:19:23.291760Z,projects/charismatic-tea-434516-a5/traces/35e5a7fff71e34c3313187e836ce6047,true
59.268694356s,HTTP/1.1,168.62.241.127,GET,263,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.81.0,67442435000e9e8ebee419f6,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:16:05.963051052Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,41f05bb3aec5a451,2024-11-25T07:15:06.678450Z,projects/charismatic-tea-434516-a5/traces/89d8561c3ce98ec4eeae0bbdd5db95f7,true
59.180294258s,HTTP/1.1,168.62.241.127,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.38.53,200,curl/7.81.0,674423360008243f3531d69e,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:11:50.536349992Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,935566a60c4b4f5c,2024-11-25T07:10:51.340333Z,projects/charismatic-tea-434516-a5/traces/33658bd7fecb8f6ab4846ddf8ed81897,true
58.862824606s,HTTP/1.1,168.62.241.127,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.32.53,200,curl/7.81.0,67442235000738a02486aca4,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:07:33.475647466Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,f32eb45b3164e3f2,2024-11-25T07:06:34.599008Z,projects/charismatic-tea-434516-a5/traces/7d70c32c13f084dd3c6fdb8352f54f4c,true
59.168723273s,HTTP/1.1,168.62.241.127,GET,262,https://fannkuch-cpp-815005680514.europe-north1.run.app/,120,216.239.34.53,200,curl/7.81.0,67442135000e0d575c4a25a4,004940b3b8a325c53ad9695411b912a7a0f2cd4b1aabfcf601736b6f31afd8570bd16d0b1e2726726b3db9ce4390f83287303a7069b12873bfb1a0f310c89ccc1d5bc2a67f839371907050f2,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T07:03:17.924655579Z,fannkuch-cpp,europe-north1,charismatic-tea-434516-a5,fannkuch-cpp-00008-jkq,fannkuch-cpp,cloud_run_revision,INFO,f8fca402e1d11652,2024-11-25T07:02:18.740268Z,projects/charismatic-tea-434516-a5/traces/acc892fc9d823529f83e542c5768f6c5,true
