httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
32.101981847s,HTTP/1.1,20.109.94.1,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.38.53,200,curl/7.81.0,6746cd22000e29a564901c78,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:41:22.934250254Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,68ff7ff97ab43967,2024-11-27T07:40:50.816687Z,projects/charismatic-tea-434516-a5/traces/af7ffb1de68054392e88850f3fd50a0a,TRUE
31.869128731s,HTTP/1.1,40.83.58.147,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.32.53,200,curl/7.81.0,6746ccdd0009b4b9440f34bb,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:40:13.638551250Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,14fe8d6e5a937236,2024-11-27T07:39:41.759536Z,projects/charismatic-tea-434516-a5/traces/fd00dd9a8e02b999de0e9076ff424d0d,TRUE
32.032076367s,HTTP/1.1,13.89.26.58,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.32.53,200,curl/7.81.0,6746cc8000089e65750bbad3,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:38:40.569516856Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,9187625dde942aa2,2024-11-27T07:38:08.524563Z,projects/charismatic-tea-434516-a5/traces/8bdafc7255925c4c5abb633468859f9f,TRUE
31.898906928s,HTTP/1.1,40.86.43.18,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.36.53,200,curl/7.81.0,6746cbcc0008825d39f5964d,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:35:40.561302445Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,e6174e95df67c49b,2024-11-27T07:35:08.650178Z,projects/charismatic-tea-434516-a5/traces/1f651d9f3265aecb8bbeaf26c9ffc950,TRUE
32.101361925s,HTTP/1.1,40.83.58.147,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.38.53,200,curl/7.81.0,6746cb5f00008debcc9c0147,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:33:51.040971808Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,5f086baedc929dc4,2024-11-27T07:33:18.926770Z,projects/charismatic-tea-434516-a5/traces/232873e19b28af1215740e2cd434efc6,TRUE
32.035179565s,HTTP/1.1,13.89.26.58,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.34.53,200,curl/7.81.0,6746cafb0004c60b237f414a,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:32:11.317694851Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,0430695bac419e82,2024-11-27T07:31:39.269673Z,projects/charismatic-tea-434516-a5/traces/09ac0e30c17b31550307b2bcb64f8e1f,TRUE
32.378356643s,HTTP/1.1,20.109.94.1,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.32.53,200,curl/7.81.0,6746cab9000ab2b538ca4fdc,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:31:05.705383578Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,1e3bee7e27e50744,2024-11-27T07:30:33.314342Z,projects/charismatic-tea-434516-a5/traces/91dd749aba96763ab0afc27d6bee423c,TRUE
32.147113709s,HTTP/1.1,40.83.59.204,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.34.53,200,curl/7.81.0,6746c9d1000487bb7ae7b7dc,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:27:13.299354771Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,98c916616674258a,2024-11-27T07:26:41.141545Z,projects/charismatic-tea-434516-a5/traces/6eaaa31397224d74355d0778c2f66d3c,TRUE
31.936151498s,HTTP/1.1,40.86.43.18,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.38.53,200,curl/7.81.0,6746c98400056883affe7b0e,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:25:56.356750952Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,64d74847b91f6c64,2024-11-27T07:25:24.409448Z,projects/charismatic-tea-434516-a5/traces/77d150d03fc2a7f8ea36f39dfb94b3a4,TRUE
31.798511991s,HTTP/1.1,20.109.94.1,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.38.53,200,curl/7.81.0,6746c9380007038ff034a491,004940b3b8a0e5be33ad04afb5b112e8072ef3cbfaf82c155dabad068abc61b5a064cc579a1b3dd9eb30535b2107fb991e9bc42421dd2ac189c5e687a1255da90aac453d103b13effdbe535ca44c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-27T07:24:40.461505250Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00011-dxz,rust-fannkuch,cloud_run_revision,INFO,ac808a9e02a5de65,2024-11-27T07:24:08.653805Z,projects/charismatic-tea-434516-a5/traces/e1d21ff223164429ea269187028cbb70,TRUE
