httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
32.083166140s,HTTP/1.1,37.228.255.14,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.36.53,200,curl/7.68.0,674df90f0001e1ea3a71bad0,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T18:14:39.126080093Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,6ea7c92e26a9fe6d,2024-12-02T18:14:07.028327Z,projects/charismatic-tea-434516-a5/traces/f8d180fa6f723cbfc20259068f83de9d,TRUE
32.456351305s,HTTP/1.1,37.228.255.14,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.34.53,200,curl/7.68.0,674df85100008e03895cd415,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T18:11:29.042774343Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,30d85555a20cf062,2024-12-02T18:10:56.571892Z,projects/charismatic-tea-434516-a5/traces/6dfaf8150497d78dc79b98e318092034,TRUE
31.420545784s,HTTP/1.1,37.228.255.14,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.32.53,200,curl/7.68.0,674df0bb00048445e827b903,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:39:07.297947149Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,40c15edbb3088ebe,2024-12-02T17:38:35.866852Z,projects/charismatic-tea-434516-a5/traces/e71af2e3937278084cdfac4e5d375e87,TRUE
31.286967955s,HTTP/1.1,37.228.255.14,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.32.53,200,curl/7.68.0,674deff9000efc93132cd133,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:35:53.983915275Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,aa899b9d1deda8e2,2024-12-02T17:35:22.686054Z,projects/charismatic-tea-434516-a5/traces/310a1481eb56852cd409e8d53e739c3c,TRUE
31.402730680s,HTTP/1.1,37.228.255.14,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.38.53,200,curl/7.68.0,674def38000c9f1e8ec21b38,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:32:40.830429796Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,b5a1004a11597bf5,2024-12-02T17:32:09.411889Z,projects/charismatic-tea-434516-a5/traces/335def0c14ed629ed5777444637adbe6,TRUE
31.535699467s,HTTP/1.1,37.228.255.14,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.32.53,200,curl/7.68.0,674dee770009e66816534d8f,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:29:27.654678010Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,c04c3bffc1be6e2f,2024-12-02T17:28:56.104988Z,projects/charismatic-tea-434516-a5/traces/28e74995396a088f5a7a1911cd1ff58b,TRUE
31.481347843s,HTTP/1.1,37.228.255.14,GET,264,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.36.53,200,curl/7.68.0,674ded730002338391e26f51,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:25:07.149160647Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,20d47f8372c5dfff,2024-12-02T17:24:35.654622Z,projects/charismatic-tea-434516-a5/traces/eb020d5de0879aea03d9808d28220510,TRUE
31.360933120s,HTTP/1.1,37.228.255.14,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.34.53,200,curl/7.68.0,674decb400054ca5ba50f7ee,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:21:56.351435858Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,9ecdcc6185c077e0,2024-12-02T17:21:24.978103Z,projects/charismatic-tea-434516-a5/traces/89342182a6e5229974cc8646b843c314,TRUE
31.408505045s,HTTP/1.1,37.228.255.14,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.34.53,200,curl/7.68.0,674debad000373c1aedc71db,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:17:33.228434664Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,d63b48fde2987654,2024-12-02T17:17:01.808541Z,projects/charismatic-tea-434516-a5/traces/9dd62b322df58677505fc8c6e7586477,TRUE
32.360217493s,HTTP/1.1,37.228.255.14,GET,265,https://rust-fannkuch-815005680514.europe-north1.run.app/,104,216.239.32.53,200,curl/7.68.0,674deaef000962802e61f2ac,004940b3b8a0fc73399bbb51d0be9492f15fb78b2bfaac6b2ee87f1bbb24ed432112ed8625ea9c6671b4842aba172c937c496e103dfbcac8bd873e8491d231676820806a998b756a1b8dc867554d,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:14:23.618807938Z,rust-fannkuch,europe-north1,charismatic-tea-434516-a5,rust-fannkuch-00013-jbp,rust-fannkuch,cloud_run_revision,INFO,0e28df7f11d48492,2024-12-02T17:13:51.244344Z,projects/charismatic-tea-434516-a5/traces/d7d8d5a98499c8c4c46d15bed8d5e212,TRUE
