httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
5.680087269s,HTTP/1.1,37.228.255.14,GET,269,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.32.53,200,curl/7.68.0,674ed15e0003ca496f59e3ea,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:37:34.252369383Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,cd9889f56bf0b495,2024-12-03T09:37:28.561610Z,projects/charismatic-tea-434516-a5/traces/731dd48d131d27125c0547bd74118860,true
6.137461312s,HTTP/1.1,37.228.255.14,GET,270,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.34.53,200,curl/7.68.0,674ed0a8000965cd715d48d3,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:34:32.620363680Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,271d58956f0a788d,2024-12-03T09:34:26.470943Z,projects/charismatic-tea-434516-a5/traces/fcb088fece0bca367db657dfd72293bf,true
5.948176808s,HTTP/1.1,37.228.255.14,GET,269,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.34.53,200,curl/7.68.0,674ecff0000e3412ad9a84e4,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:31:28.934460841Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,ff150d6499d696ce,2024-12-03T09:31:22.974797Z,projects/charismatic-tea-434516-a5/traces/cb4245c79a3dcf0bcd5d1c65d19fcbfe,true
6.107074878s,HTTP/1.1,37.228.255.14,GET,270,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.34.53,200,curl/7.68.0,674ecf3a000426023093247a,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:28:26.277690356Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,1871c27f86d99774,2024-12-03T09:28:20.157960Z,projects/charismatic-tea-434516-a5/traces/633cf1711bcb3fb62659ea8e3bdd2bb8,true
6.331541242s,HTTP/1.1,37.228.255.14,GET,270,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.36.53,200,curl/7.68.0,674ece2e000e26aeb65210c1,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:23:58.931415369Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,c88a9c26fe044e19,2024-12-03T09:23:52.588208Z,projects/charismatic-tea-434516-a5/traces/1e7a833e5e6a8cba3ec27f18d207c9b8,true
6.078839348s,HTTP/1.1,37.228.255.14,GET,270,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.34.53,200,curl/7.68.0,674ecd76000abde3b2f70637,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:20:54.707768686Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,abc4993a72154ccd,2024-12-03T09:20:48.619117Z,projects/charismatic-tea-434516-a5/traces/cd17acebb6f79461cebadd1ead3b7d29,true
5.671997913s,HTTP/1.1,37.228.255.14,GET,269,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.34.53,200,curl/7.68.0,674eccbe0006a22ec51d1d4a,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:17:50.439254530Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,96fd9f25e1e8291e,2024-12-03T09:17:44.755174Z,projects/charismatic-tea-434516-a5/traces/efce74ce217b2ae9acf0a3d063f58afa,true
5.925613627s,HTTP/1.1,37.228.255.14,GET,269,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.34.53,200,curl/7.68.0,674ecbb7000e80f7b83cdd94,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:13:27.955117217Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,b441170a506d482d,2024-12-03T09:13:22.017170Z,projects/charismatic-tea-434516-a5/traces/47106bf9b1142aee55689ebf46da7196,true
5.940078460s,HTTP/1.1,37.228.255.14,GET,269,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.32.53,200,curl/7.68.0,674ecb000003a8a005237e88,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:10:24.243037617Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,28a9805f814d6e9b,2024-12-03T09:10:18.292364Z,projects/charismatic-tea-434516-a5/traces/42be5f8de0cd0bcd777666955b1179fe,true
5.723531060s,HTTP/1.1,37.228.255.14,GET,270,https://prime-cpp-815005680514.europe-north1.run.app/?max=10000000,117,216.239.34.53,200,curl/7.68.0,674eca4400088314c67b0a98,004940b3b810dde70da0c160b7cb82ea664a2e3abfa9899ce3750fe8da582319c747bc87381cd593f784a24bc32df7ea79190512876a32645dc469a27561e7049da94a05052006c43323e24bd242,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:07:16.559816411Z,prime-cpp,europe-north1,charismatic-tea-434516-a5,prime-cpp-00011-7qh,prime-cpp,cloud_run_revision,INFO,3290fdbbc538ec6a,2024-12-03T09:07:10.826802Z,projects/charismatic-tea-434516-a5/traces/88d5f0f8a88b8369c68ae47bbf0d3c62,true
