httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
20.830906754s,HTTP/1.1,37.228.255.14,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.36.53,200,curl/7.68.0,674ed16d00060fd9559d1105,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:37:49.399437980Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,63cd11b4b771878e,2024-12-03T09:37:28.559323Z,projects/charismatic-tea-434516-a5/traces/914995b2a9b95ee44b75fcb314864a3e,true
21.278179426s,HTTP/1.1,37.228.255.14,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.34.53,200,curl/7.68.0,674ed0b7000bf5442f857fa5,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:34:47.786920180Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,1c64943d0ec9fcc7,2024-12-03T09:34:26.496921Z,projects/charismatic-tea-434516-a5/traces/7d724f2f07a5e0596480f92d26a6dc72,true
21.290157816s,HTTP/1.1,37.228.255.14,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.38.53,200,curl/7.68.0,674ed0000004ec4deb404cdf,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:31:44.325983579Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,8b87575ed4a332f4,2024-12-03T09:31:23.024291Z,projects/charismatic-tea-434516-a5/traces/b21a3ef4b8a5740a00c0b888bbf53992,true
21.172618776s,HTTP/1.1,37.228.255.14,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.38.53,200,curl/7.68.0,674ecf4900047dbe720edab4,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:28:41.297327307Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,6dcb772a86a2a059,2024-12-03T09:28:20.113514Z,projects/charismatic-tea-434516-a5/traces/128fb0a809f0b02098690d006863cca5,true
21.465459262s,HTTP/1.1,37.228.255.14,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.34.53,200,curl/7.68.0,674ece3e0001d3693fdf7c87,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:24:14.123987817Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,2fb95fc96b843e9f,2024-12-03T09:23:52.646043Z,projects/charismatic-tea-434516-a5/traces/bb779be7a469427e66fb26b1fbe30625,true
20.935579288s,HTTP/1.1,37.228.255.14,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.32.53,200,curl/7.68.0,674ecd85000892b2b7f0295e,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:21:09.564654568Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,0bf7bfa4433818cd,2024-12-03T09:20:48.618108Z,projects/charismatic-tea-434516-a5/traces/570f3fe155a91b316e92ac8e2498d725,true
20.856487716s,HTTP/1.1,37.228.255.14,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.36.53,200,curl/7.68.0,674ecccd0008ca548ac30759,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:18:05.578522196Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,6abf768943a6bf1b,2024-12-03T09:17:44.708803Z,projects/charismatic-tea-434516-a5/traces/2e67bdc12c0f84039e5a33173f7fd984,true
21.108337145s,HTTP/1.1,37.228.255.14,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.34.53,200,curl/7.68.0,674ecbc70002213de6816e19,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:13:43.141700627Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,f5180e9d88c338d0,2024-12-03T09:13:22.021926Z,projects/charismatic-tea-434516-a5/traces/1f74b3268854dfcb8e582a1282106e89,true
21.058011152s,HTTP/1.1,37.228.255.14,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.36.53,200,curl/7.68.0,674ecb0f000578700a6c043d,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:10:39.363552883Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,66ad23bf66531d5a,2024-12-03T09:10:18.291252Z,projects/charismatic-tea-434516-a5/traces/2401828484bad7e07e9a6c577e5cbcd6,true
20.663715588s,HTTP/1.1,37.228.255.14,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.38.53,200,curl/7.68.0,674eca530006f3f70b7e50e4,004940b3b8865219f15b78ccfa2b501277cef22a5a6345416cea44ea4710bf14064cb63843a84b1078ee619244cf79c21009bcb1da9dd136e384db8f15a46b040cbbcf1d7dc78be8e0d05bae1acc,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-03T09:07:31.460071546Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00010-bzp,prime-go,cloud_run_revision,INFO,243d4e3a72750546,2024-12-03T09:07:10.783102Z,projects/charismatic-tea-434516-a5/traces/bb2972eeb97a138c905c2f051538c8af,true
