httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
20.155980553s,HTTP/1.1,172.183.218.21,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.32.53,200,curl/7.81.0,6744cacd000d0e5d8e9a7513,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T19:06:53.859963891Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,c7de2a9fc1a03f8c,2024-11-25T19:06:33.691189Z,projects/charismatic-tea-434516-a5/traces/b2246b509a7e916e8162fbebf3599167,true
20.431914139s,HTTP/1.1,172.183.218.21,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.34.53,200,curl/7.81.0,6744c9c30001407e5a8476a2,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T19:02:27.083861817Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,6b70e5c6c45f09a9,2024-11-25T19:02:06.641924Z,projects/charismatic-tea-434516-a5/traces/7305ec0cea2815aebb46d5ff61cd9048,true
20.235307148s,HTTP/1.1,172.183.218.21,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.38.53,200,curl/7.81.0,6744c8b700093264affa9823,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:57:59.606948678Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,3e298a93fc7479c1,2024-11-25T18:57:39.359957Z,projects/charismatic-tea-434516-a5/traces/92089d40ec0b3395819b9b5ec7a79d43,true
20.145564169s,HTTP/1.1,172.183.218.21,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.34.53,200,curl/7.81.0,6744c7af0007b64c671408eb,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:53:35.511019396Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,241d61a5cb4de444,2024-11-25T18:53:15.350464Z,projects/charismatic-tea-434516-a5/traces/c9bc28197949170e8148d5adce04bcaf,true
20.309992129s,HTTP/1.1,172.183.218.21,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.38.53,200,curl/7.81.0,6744c6a500080eef98305021,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:49:09.530368920Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,ad0275ef8f868aec,2024-11-25T18:48:49.209678Z,projects/charismatic-tea-434516-a5/traces/675836c1f362205ffb7d05523fc04468,true
20.121141514s,HTTP/1.1,40.75.96.43,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.32.53,200,curl/7.81.0,6744bf41000b676553493c5d,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:17:37.751063507Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,2029b7a0cd13d875,2024-11-25T18:17:17.611035Z,projects/charismatic-tea-434516-a5/traces/f219443e28398d07a555ec8a5d753453,true
20.199877133s,HTTP/1.1,40.75.96.43,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.38.53,200,curl/7.81.0,6744be37000eac41609d13aa,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:13:11.966745482Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,976d04b36672f93d,2024-11-25T18:12:51.752717Z,projects/charismatic-tea-434516-a5/traces/a6972b8d497067701a89a17ff67bbecd,true
20.026381858s,HTTP/1.1,40.75.96.43,GET,270,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.38.53,200,curl/7.81.0,6744bd2f00013d7cc05e7f13,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:08:47.084403375Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,1ac47caddfd534e5,2024-11-25T18:08:27.046866Z,projects/charismatic-tea-434516-a5/traces/5ab304c3461efc746b164e4f97ed0315,true
20.431235689s,HTTP/1.1,40.75.96.43,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.34.53,200,curl/7.81.0,6744bc25000486ad770ce1a4,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:04:21.300420712Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,942b2133d2620a88,2024-11-25T18:04:00.857754Z,projects/charismatic-tea-434516-a5/traces/013450f2b838faa0e34c1b592d80fcf2,true
20.215759094s,HTTP/1.1,40.75.96.43,GET,271,https://prime-go-815005680514.europe-north1.run.app/?number=10000000,145,216.239.34.53,200,curl/7.81.0,6744bb1b000e6d460fc12015,004940b3b83ac2d738d55da7c5a3a32f2904b5b5f7052ae0b4af9fe3c18b09abf80c04df442393f28cede4697558ad16695cb94662da51786cfdb1181dafb6e7b15929e7919fe61a3496ebe312,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T17:59:55.949914083Z,prime-go,europe-north1,charismatic-tea-434516-a5,prime-go-00003-pwq,prime-go,cloud_run_revision,INFO,dfd1c691e99a10c5,2024-11-25T17:59:35.720719Z,projects/charismatic-tea-434516-a5/traces/b372bb58ed792e89d019190f08fd9481,true
