httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
6.192311130s,HTTP/1.1,37.228.255.14,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.68.0,674df8f500067c69f684539a,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T18:14:13.427471229Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,727ca5da24da1722,2024-12-02T18:14:07.226001Z,projects/charismatic-tea-434516-a5/traces/99f00611ab80ccc87fa7e93fadc9ef15,true
6.295765512s,HTTP/1.1,37.228.255.14,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.68.0,674df83f0000403ee21fa1f9,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T18:11:11.019959635Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,31e58a7c03bba6c1,2024-12-02T18:11:04.714174Z,projects/charismatic-tea-434516-a5/traces/a9f6b3797b675e4f32dbddcfce8e77f0,true
6.216747816s,HTTP/1.1,37.228.255.14,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.68.0,674df0a20003a7d79ff5ed6d,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:38:42.242555631Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,32f1e12eb3a38859,2024-12-02T17:38:36.015089Z,projects/charismatic-tea-434516-a5/traces/3a2e4a3fc0d4e68fc4f5c791abb2801e,true
6.241106243s,HTTP/1.1,37.228.255.14,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.68.0,674defe10001547f614ec280,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:35:29.090476475Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,a6651402020db0f3,2024-12-02T17:35:22.839670Z,projects/charismatic-tea-434516-a5/traces/958e8171cd09e2dd9941bb7de871ee86,true
6.259348695s,HTTP/1.1,37.228.255.14,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.68.0,674def1f000cc87075b33fc5,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:32:15.841173178Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,778163f73e0d1bca,2024-12-02T17:32:09.571290Z,projects/charismatic-tea-434516-a5/traces/1f7aba1baab6e692563597231939e72e,true
6.219510498s,HTTP/1.1,37.228.255.14,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.68.0,674dee5e00079b69b4fa04a8,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:29:02.503364606Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,153fd59dc7d851ef,2024-12-02T17:28:56.271937Z,projects/charismatic-tea-434516-a5/traces/ff514ecd7a5dbf296f5ccfd44dd6ec79,true
6.327379736s,HTTP/1.1,37.228.255.14,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.68.0,674ded5a000210cd89fe79ec,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:24:42.138693880Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,234bbbc4c271a047,2024-12-02T17:24:35.800515Z,projects/charismatic-tea-434516-a5/traces/f44102215cb1bb821ed3910bc2ab2b42,true
6.289123472s,HTTP/1.1,37.228.255.14,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.68.0,674dec9b0006b6bf4d607859,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:21:31.444186152Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,4680dd9f0296ccd3,2024-12-02T17:21:25.144095Z,projects/charismatic-tea-434516-a5/traces/60394366d2b91030d17770e4c6a7f8a2,true
6.248153663s,HTTP/1.1,37.228.255.14,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.68.0,674deb940003c1fea66e7925,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:17:08.248237532Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,1fe1de2aa4a17d8d,2024-12-02T17:17:01.990699Z,projects/charismatic-tea-434516-a5/traces/6cd911eb2e0d83d27bb7902cbd1904c9,true
6.184625077s,HTTP/1.1,37.228.255.14,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.68.0,674dead50009a09e86fb4c84,004940b3b8294c18ebe7b34062b700fd438d8903d37bb4a77d17dbbc7ad6fc3bc8f738e879f23f4589176bfaca161288d7dfb394a5e57148fa8cd8e9d10a129931c1b571ff04af2f0dfbf5d33ecf,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-12-02T17:13:57.635451057Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00006-k2n,prime-rust,cloud_run_revision,INFO,1f5cc818cdf57784,2024-12-02T17:13:51.437556Z,projects/charismatic-tea-434516-a5/traces/265f7f819eb62a80f9569437c5a3f82a,true
