httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
6.301555860s,HTTP/1.1,20.55.14.83,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,67461393000195ee128db6db,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:29:39.107846731Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,0c793990fa21faa6,,2024-11-26T18:29:32.795038Z,projects/charismatic-tea-434516-a5/traces/1fa8bdb68b70ca7b71bfa82879c4af3d,true
6.309605139s,HTTP/1.1,20.55.14.83,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,674612fa000bd5a6a49291cf,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:27:06.780268944Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,e3c39763f4723f15,,2024-11-26T18:27:00.458589Z,projects/charismatic-tea-434516-a5/traces/7f1c2b3c12cbfc04e083cc48c363ddb3,true
6.229742656s,HTTP/1.1,20.55.14.83,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,67461262000088e71bd3294a,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:24:34.040080349Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,49b929a40b869426,,2024-11-26T18:24:27.799143Z,projects/charismatic-tea-434516-a5/traces/d2d1f910f34c4b9f8507d507c2bbc97c,true
6.163853209s,HTTP/1.1,20.55.14.83,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,674611c9000b5c9de1424c0a,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:22:01.749557151Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,adcdfa6a01b1ff93,,2024-11-26T18:21:55.572604Z,projects/charismatic-tea-434516-a5/traces/3fda38a78f900796792924847c3058dd,true
6.246491580s,HTTP/1.1,20.55.14.83,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,674611310008b9c08500f5dc,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:19:29.576819302Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,954d93d6db8f9642,,2024-11-26T18:19:23.318733Z,projects/charismatic-tea-434516-a5/traces/5d1f900e68698cc6acc05eca2d997317,true
6.251045110s,HTTP/1.1,20.55.14.83,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6746109900048bf239fefa2e,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:16:57.304007160Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,45b38b0e03c4a3a6,,2024-11-26T18:16:51.041032Z,projects/charismatic-tea-434516-a5/traces/217fca8878c27207d150a8e92a8d2203,true
6.203230713s,HTTP/1.1,20.55.14.83,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,674610010003e5afcf937cf4,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:14:25.260282713Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,86f2fbf67ce030a7,,2024-11-26T18:14:19.044950Z,projects/charismatic-tea-434516-a5/traces/418d56318adbcc8bda5fa06a33087438,true
6.252668540s,HTTP/1.1,20.55.14.83,GET,272,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,67460f68000c29af7c1b16f5,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:11:52.801113483Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,8e2eaf92c86feb9d,,2024-11-26T18:11:46.537336Z,projects/charismatic-tea-434516-a5/traces/48fb6bca4db100c58126efd6cb6fee14,true
6.202601470s,HTTP/1.1,20.55.14.83,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,67460ed00009168889ad37c9,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:09:20.600614738Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,50721fdcb6473f15,,2024-11-26T18:09:14.384552Z,projects/charismatic-tea-434516-a5/traces/4ab498a74f5c95ddabb9558424dffa55,true
6.227960448s,HTTP/1.1,20.55.14.83,GET,273,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,67460e380008ba2b410aecc0,004940b3b831542afe77da90664db7275353f880c56a0ead0e1078108c9eaddb1b939a27d753218b8595f27c6677bcfaba6a478a1a324c05f40bee346216e94439ef1ecd4e69d0f9d122508081d4,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T18:06:48.579036144Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,a2fbc38e878101ac,,2024-11-26T18:06:42.337599Z,projects/charismatic-tea-434516-a5/traces/c6d7a8aea4a969788a15121841fca59b,true
