httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
4.882619456s,HTTP/1.1,172.183.218.21,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6744cad2000e03803f36b209,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T19:06:58.921026357Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,f2cb2eccaea063cb,2024-11-25T19:06:54.029046Z,projects/charismatic-tea-434516-a5/traces/d02d4afe51b2d13cd0e8019819e708b8,true
4.940536976s,HTTP/1.1,172.183.218.21,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6744c9c800034d6ab0440a82,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T19:02:32.219227755Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,385bf2d52634712f,2024-11-25T19:02:27.269516Z,projects/charismatic-tea-434516-a5/traces/a043fa667abbc23d174c7be54c3f681f,true
4.921996234s,HTTP/1.1,172.183.218.21,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,6744c8bc000ad69fb9f79dd6,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:58:04.712811932Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,c6407a3f27697966,2024-11-25T18:57:59.781729Z,projects/charismatic-tea-434516-a5/traces/955b036e069b2aaf3ad0fb715c196140,true
4.999356750s,HTTP/1.1,172.183.218.21,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,6744c7b4000abd9231861e16,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:53:40.706784658Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,a651a4f90ee8f91c,2024-11-25T18:53:35.693049Z,projects/charismatic-tea-434516-a5/traces/6381047d3f753d3f62853d1de6160362,true
4.903045645s,HTTP/1.1,172.183.218.21,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6744c6aa0009c35172002a13,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:49:14.644058919Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,2872e07d37ae1f9f,2024-11-25T18:49:09.730051Z,projects/charismatic-tea-434516-a5/traces/06db6b0d5c4729d5e897ed139a67c8a1,true
5.006302529s,HTTP/1.1,40.75.96.43,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,6744bf46000e3b8102429f31,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:17:42.936741216Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,25e5aa4194110f2e,2024-11-25T18:17:37.918433Z,projects/charismatic-tea-434516-a5/traces/074fddc434357ce3a4bada607067f6ee,true
4.854589443s,HTTP/1.1,40.75.96.43,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6744be3c000f275228bd0a3c,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:13:16.997246121Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,78cbf94160204e73,2024-11-25T18:13:12.131355Z,projects/charismatic-tea-434516-a5/traces/feac15b3dfbcb3f6cf2b4ba06940a650,true
4.971309708s,HTTP/1.1,40.75.96.43,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6744bd340003b6e460fdf5e9,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:08:52.246374085Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,6e6f10f4c6d6cf30,2024-11-25T18:08:47.264763Z,projects/charismatic-tea-434516-a5/traces/4a6c9d91d9a2a820aa564f3afcab59f3,true
4.999569569s,HTTP/1.1,40.75.96.43,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.38.53,200,curl/7.81.0,6744bc2a0007357531962d7b,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:04:26.475370175Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,0fcfb8b12a751909,2024-11-25T18:04:21.465299Z,projects/charismatic-tea-434516-a5/traces/fbbbadc47ef82d35eb328f86d631a366,true
4.971637967s,HTTP/1.1,40.75.96.43,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.36.53,200,curl/7.81.0,6744bb2100018019d7426d06,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T18:00:01.102595501Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,0318e7dc63111a33,2024-11-25T17:59:56.119622Z,projects/charismatic-tea-434516-a5/traces/1a2b3fde45adbf7dfec7715fbe3b0dcc,true
5.479861977s,HTTP/1.1,40.75.96.43,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6744ba17000ce176242b3064,004940b3b8c72c8caa87aba34c0999b1461c46e04068715008f688b9e60de2d81015870407dc03b5f33ee3c771471bc96654022b81f7154939cb22ee2c3b920621fecb5add09ab6215e04dd2fb,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-25T17:55:35.850304916Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00002-2zm,prime-rust,cloud_run_revision,INFO,849fb6f0e7e58c01,2024-11-25T17:55:30.356873Z,projects/charismatic-tea-434516-a5/traces/b1ac20d2b9e32d43a2efa027e36161ca,true
